alpha,target_coverage,empirical_coverage,interval_width
0.2,0.8,0.8017445576568786,2.8044294332773063
0.15,0.85,0.8505846524044065,3.2331087493882142
0.1,0.9,0.9005902921382111,3.8517973719010357
0.05,0.95,0.9497311726886492,4.88523487105981
0.02,0.98,0.9781930292890175,6.2826192823993114
